Entity,average_probability
intercity services,156000
Judy Miller,241000
Binod Kumar Singh of CPI (ML) L,0
the German author,148000
the foundation,460000000
Biological patents,3450
some fancy stuff,29400
"central New Mexico, Arizona and southern California",4
Rob Ryan--who is also Cleveland's defensive coordinator--Rex Ryan,0
society,2630000000
The statement,175000000
NATO,113000000
Mosul,4740000
the fifth grade,1570000
Hallyday's operation,0
adult film viewers,1650
Cherokee County,4070000
a scandal involving false representations of progress of the construction of three properties in the Jumeirah Lake Towers development,0
a statement,419000000
"Radomsko County, Lodz Voivodeship, in central Poland",0
the main-stream Hinduism,241
the original GATT members,1030
Critiques of Human Rights Philosophers who have criticized the concept of human rights,0
a Gaul,65200
The publication,238000000
Robin Hoods,374000
minutes,3820000000
the steps,502000000
the other candidates,4760000
wheels,432000000
few economic policy changes,5
new techniques,26400000
"every aspect--from the private agencies, from ACS to the courts, from the failure of any state department of oversight",0
the highly successful Rocky Horror Show,4
sources,4700000000
the island of New Guinea Friday,1
about five months,1290000
The band,197000000
the website of The Sun Herald,3
the trailers,6840000
"Other extensive parts, including the living room and the dispensary",3
the all-time closed-course speed record,4
Montreal Canadiens,12000000
a delegation of Hong Kong legislators,0
"Mr. John Luo, chairman and administrative president of Wellcome, who came to China",0
its home games,266000
prime minister,302000000
Alberta Party supporters,277
the Farnworth county constituency,1
A second Jordanian official,1
King James VI to Catholicism,5
Hoke,8780000
equities markets,167000
Orders,1540000000
the branch of the Metropolitan Line,2
Agatharchides,16600
its entirety in the film Manic,0
"the Cook County Bar Association, the Justice Coalition of Chicago and others",3
stimulus monetary policies and economic structural adjustments,0
a very close match for the odd-footed enantiornithine bird,2
a grave threat to international peace,12000
a village and municipality in the Lerik Rayon of Azerbaijan,126
funds,1300000000
The reservoirs,2550000
the first American deaths,2900
executive chairman of Rothschild International,40
the second night in a row,203000
Mendelssohn,7410000
hallucinations,38000000
Chordeleg,50800
Moby's first acclaimed electronica album,1
Administration officials,2470000
efforts,2370000000
calm investors,30500
employee privacy,449000
"Port of Spain, Trinidad",4920000
the data,1720000000
Book,4720000000
the Sundance Film Festival,1280000
many Ethnic Minority Party candidates,1
the nearby village of Livenka,2
the Southeastern United States,5030000
The Federal Coordinator (director of the agency),1
DeLay's wife,219
a big step,17800000
an occasional game of tennis or the like,0
marchers,3040000
The Rwandan government,271000
his cabinet and King Albert II,0
contact,18620000000
Gloucestershire,28800000
a meeting,248000000
the first election,1010000
the worldwide web (internet) came,0
the predominant Muslim north,8
"Montana Mountain, Mount Nansen, and the Bennett Lake, Mount Skukum and Sifton Range volcanic complexes",2
reporters,164000000
agencies on a credential system for BP cleanup contractors,0
North of the town center,306000
leagues,204000000
June,3860000000
"other, far-reaching repercussions",168
Washington's proposal,7560
"various athletes who dress ""bianco-rosso ""(white-red)",1
The problem,1020000000
The Faroe Islands National Art Museum,165
justice,1640000000
a convention with the German state of Rhineland-Palatinate,1
class the next day,1960000
the end of the year,464000000
"Donald Harty, president of Charisma Group Inc., a New York franchisee of Grand Metropolitan PLC's Burger King chain",0
Mexican officials,244000
shares,1700000000
the same day the CPA was formed,0
distant third,369000
investors holding foreign money,117
his way,153000000
The German champions,139000
official data,10800000
the birth of Jesus,7440000
individuals,2330000000
a narrowing of interest rate differentials between the U.S. and West Germany,0
the Richard Rodgers/Stephen Sondheim,60
hung parliament,453000
D'Amour,10700000
that time,645000000
"The actress, who is riding high on the success of Fashion and Dostana",1
Arthurian Legend,1160000
a polarizing figure,147000
the writings of Adomnan,1
his son Christopher using that story (minus some elements all too obviously evocative of World War I warfare) and compressed versions from the different versions of the Annals and Quentas as various sources,0
its own in-house production facilities,2440
Towel Day,106000
traffic,2720000000
they,14310000000
Ottawa,210000000
Palestinian Authority,5280000
Infants,280000000
his first year,21600000
Gabriel,306000000
the neighbouring town of Lannion,8
a very special room,58600
Atkinson,82700000
Seth,202000000
some strongholds,8000
the departure point one,2920
"a variety of weapons, outdoor survival skills",20
residents,1240000000
the City Government,13100000
Ilias Kasidiaris,7600
a question,1070000000
Dissonance,22000000
the cycling leg of the Youth Olympic Games girls,0
that of the United States' FBI,0
Maharashtra,428000000
Azure,403000000
a spot,121000000
the Pittsburgh Sobor,1
its author,14300000
an ant,9890000
The Big Board,1080000
uranium,35900000
the mall-and,9450000
Napoli,54900000
the first nine months of the year,675000
Many a piglet,13800
a June EC summit,0
the resolution approved Thursday,434
The screenplay,12000000
S.L . Benfica,4850000
The UN mission in Afghanistan,88100
"Los Angeles, California, including, with Milla Jovovich, the controversial The People Tree Sessions",0
director of the National Economic Council Lawrence H. Summers,7
your sense,17500000
the first woman to cross the island of New Guinea,1
the advanced economies,288000
The news,814000000
Factories,136000000
farmers,440000000
Andrew,1070000000
Witnesses,158000000
other US warships,9860
flags,348000000
the defense ministers' meeting,17700
each contributor adding to the thread that moves me in a sonambulant noiseless rush toward the truth,0
helmeted firemen and building inspectors,0
Riot officers in the Paris suburb of Nanterre and the southeastern city of Lyon,2
the west of Hull city centre,3880
time for New Year,6550000
their first spring training game,6360
oversight of Wall Street,37800
a better use of these language training resources,0
the invitation of the Amphilochian Argives,0
disable candidates,3110
the revenge play,6500
any attempt,24800000
"the Repulse Bay, where all deities gather",0
Saint George,10200000
the reporter,23800000
American Telephone & Telegraph Co.,28600
A car,586000000
medium-and small-sized companies,20500
its failure,8140000
funds for development,4710000
approval of the natural gas chemical industry project,0
"old, obsolete technology, as inspired by Hans Holbein the Younger's The Ambassadors",1
the draft statement,147000
Norm,247000000
music,4220000000
"Eurasia east to Western Siberia, south to Algeria and on the Atlantic islands",37
Terry Labonte,287000
Only one modern example of a national agrarian experiment,0
"Winchester School and Trinity College, Cambridge",552
a brief stay in the AHL,1
the standards for listing of that organization,0
a passport or permanent residency which would allow them to play with Israeli status,27
Individuals affiliated with the Church of Scientology,2
ways,4690000000
the Middle East,334000000
Jim Gilliam,84500
Veronica and Nick,32700
Hebrew and Aramaic texts,14500
fundamentalist extremists such as Warren Jeffs and Dan Lafferty,1
"the moral hypocrisy at the heart of ""Settle the Score",1
cyclohexane,6490000
addition,3290000000
any similar facility across this land,1
Munster Rugby,3320000
the Panama Canal,5460000
Christoph Willibald Gluck,139000
the basic state policy of resources conservation and environmental protection,1
such companies,5340000
world domination,9950000
"Former Democratic fund-raiser Thomas M. Gaubert, whose savings and loan was wrested from his control by federal thrift regulators",0
a roundabout dog,327
the deadliest attack,407000
the process,1780000000
a report,429000000
a ferry,14400000
a strong global economy,62800
the St. Patrick's Day celebrations,280000
This embassy,132000
Steve Jobs,26000000
"its format as a compilation of mostly unissued leftovers from various sessions, and given its rather short running time",2
Tuesday's attacks,29100
The rally,14700000
"the promoter, a portion of (her) payment",2
biology,1500000000
Sri Lanka,638000000
"Haldimand-Norfolk, Niagara Falls, Niagara West-Glanbrook, and Welland ridings",1
others,5130000000
That year,210000000
his first state dinner,13000
Ruslan Ponomariov and Veselin Topalov,95
"Even more of a coincidence, the house that the Knights club arranged for Li Yan",0
a moderate pace,380000
the Colorado ranch,16500
U.S. stocks,18300000
just a few days,104000000
FBI agents,3720000
"Europe's governing volleyball body, the Confederation Europeenne de Volleyball",0
The video,1120000000
the victims,84600000
The company,1210000000
Dr. Seuss,27100000
this year's selection,128000
Her Secondary and Higher secondary studies,4
a result of your ultimatum,5
a brief recess,83400
federal politics,3400000
Mr. Mahfouz,5590
Major department stores,296000
Collier's Weekly,50500
Paris,1320000000
Two years,836000000
"Movies like Your Highness, books such as A Song of Ice and Fire, and countless online websites",0
The Stripe-throated Wren (Cantorchilus leucopogon),3
"the remote mountainous region, where heavily armed tribesmen hold sway",2
the average loss,470000
New York Yankees,45500000
guiding Derby County,164
a great deal of money,18600000
Most small businesses,719000
New York high school men,3
the week that ended Wednesday,1350
field of the shield,798000
a James Milner own goal,9
engineering and medical troops,241
Malcolm McDowell,597000
"the Huemul, Cougar, Andean Mountain Cat, Camelids and, for birds, the Partridge",0
the litigation,11300000
its second bowling power play,1
a god in China,206000
the player piano,146000
BC,737000000
